row = ('Beam', 'dbo', 'table2006November04032339', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March25023528', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010September21015005', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5041', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October20034807', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March20092539', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16165758', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016December15145153', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4099', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June08112322', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February12074744', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014May10041143', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004December02081910', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August26023420', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3025', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June01090212', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003May25032058', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11088', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009July03040442', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007September16090140', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March18110919', 'BASE TABLE') 
row = ('Beam', 'dbo', 'pageF7', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November04052327', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March25023930', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5042', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016July14114435', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October20050634', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March23073606', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16170129', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016December19092210', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4100', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June13045934', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February12125959', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014May10145704', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004December11014133', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August26024612', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3026', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009January31120418', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June06041844', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003May31015519', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11089', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009July03040958', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007September17103905', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March18111130', 'BASE TABLE') 
row = ('Beam', 'dbo', 'pageF8', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November05030801', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March25093624', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014March20160620', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5043', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016July15092203', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October20121922', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March24024126', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16170658', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016December19092345', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4101', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June13100916', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February12193900', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014May12042051', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004July04050740', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August28114748', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3027', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June07025440', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003May31015545', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11090', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007September29095752', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March18111646', 'BASE TABLE') 
row = ('Beam', 'dbo', 'pageF9', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November05084359', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March31041201', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012May16092623', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014March24044635', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5044', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October20122510', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March25124647', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16170836', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4102', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June14032416', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February12194332', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016January27134135', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004July17083932', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August28124257', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015April08083610', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3028', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009February01081806', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June07101126', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003May31015607', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11091', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007October01060017', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March23041235', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageG0', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November07052041', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May05051116', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012May18053116', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5045', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009August25100224', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October21092611', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March26075701', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16171048', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4103', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June14120537', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February12195935', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016January28112339', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004July30101923', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August28125410', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015April14141621', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3029', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009February01081901', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June13041111', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003May31015711', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11092', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007October03065922', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March24032245', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageG1', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011April01114213', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November07064940', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May06015104', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012May18040417', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5046', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005September09060635', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March26100926', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16171228', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4104', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June14124019', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004June04102757', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008August29124658', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2017February27155151', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3030', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009February02111606', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June14040829', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003November04093743', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11093', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007October03083234', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March24043614', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageG2', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November09031217', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May06102227', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012May20111126', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5047', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February14050759', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May21072835', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005September09095417', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March26120239', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16171410', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4105', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June14125542', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2018February19114501', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004June08063559', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008December03024436', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2017March01174500', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3031', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March08085507', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June14101040', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003November09084001', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11094', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007October08115814', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March25101413', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014September12161116', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageG3', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011April07075856', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010July21074203', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November10093209', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May06124921', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5048', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014November20160203', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February14102524', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012October19122323', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005September12030751', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March27022106', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16171650', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4106', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June15042128', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004June12024830', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008December03025423', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2017March03191732', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3032', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009February02115411', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June15081712', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003November10012044', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009July01055144', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11095', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007October13123722', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March25124139', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014September13010958', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageG4', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016May21194550', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November11120905', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May17105032', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5049', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February17180503', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012October19054832', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005September16092844', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March30030115', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16171831', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4107', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June18112412', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004June19053905', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008December03043329', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2017March06094406', 'BASE TABLE') 
